student_id,name,cgpa,skills,skills_count,internship_count,projects_count,certifications_count,career_domain,company_joined,package,aptitude_score,communication_score
STU0000,Student 0,9.9,"PowerBI, TensorFlow, Redis, Git, HTML, CSS",6,0,3,4,Backend Developer,Amazon,10,90,36
STU0001,Student 1,7.2,"Machine Learning, TensorFlow, MongoDB, Express, CSS, PostgreSQL, SQL",7,1,4,3,Cloud Engineer,Microsoft,20,96,91
STU0002,Student 2,8.1,"Linux, Node.js, SQL, JavaScript, MongoDB, CSS, Machine Learning",7,1,1,4,Frontend Developer,Flipkart,15,74,73
STU0003,Student 3,9.7,"JavaScript, TypeScript, Django, AWS, C++, SQL, Git, Angular",8,2,3,2,Cloud Engineer,Not Placed,0,61,57
STU0004,Student 4,9.8,"PowerBI, Docker, PostgreSQL, Kubernetes",4,1,2,2,Frontend Developer,Google,20,88,85
STU0005,Student 5,8.5,"TensorFlow, CSS, Angular",3,2,4,3,AI Engineer,Not Placed,0,98,65
STU0006,Student 6,9.4,"PyTorch, Docker, SQL, MongoDB, Data Analysis",5,2,1,0,Frontend Developer,TCS,6,74,48
STU0007,Student 7,6.8,"Java, Flask, Git, Redis, Machine Learning",5,3,3,0,Frontend Developer,TCS,5,72,77
STU0008,Student 8,8.7,"CSS, Redis, Java, Angular, PowerBI, Django",6,0,5,0,Data Analyst,Wipro,4,85,82
STU0009,Student 9,9.1,"Node.js, TensorFlow, MongoDB, AWS, Deep Learning",5,0,5,3,Backend Developer,Flipkart,20,97,36
STU0010,Student 10,8.2,"HTML, Git, React",3,3,5,1,DevOps,Infosys,4,99,59
STU0011,Student 11,5.6,"CSS, PowerBI, Node.js, React, Git",5,0,4,4,Backend Developer,Amazon,6,86,91
STU0012,Student 12,8.2,"SQL, Express, Tableau, Django, Redis, Kubernetes",6,0,5,2,Cyber Security,Microsoft,4,82,41
STU0013,Student 13,7.1,"HTML, SQL, MongoDB, Kubernetes, Machine Learning",5,0,1,3,Full Stack Developer,Swiggy,5,49,53
STU0014,Student 14,7.5,"JavaScript, PostgreSQL, Django, CSS, Angular",5,3,5,4,AI Engineer,Infosys,4,74,41
STU0015,Student 15,5.7,"PostgreSQL, PowerBI, Flask",3,0,5,2,Backend Developer,Not Placed,0,47,94
STU0016,Student 16,9.3,"Express, Kubernetes, Docker, Django, MongoDB, Tableau, Python, Git",8,1,5,1,Cloud Engineer,Google,15,83,74
STU0017,Student 17,5.8,"C++, PyTorch, AWS, PostgreSQL, JavaScript, Machine Learning, CSS",7,3,2,1,Cyber Security,TCS,12,99,79
STU0018,Student 18,9.1,"Java, Django, Deep Learning, Express, Flask, C++",6,3,1,2,Cyber Security,Google,8,60,55
STU0019,Student 19,6.4,"C++, Docker, Node.js",3,3,1,0,Frontend Developer,Google,4,79,61
STU0020,Student 20,8.0,"Angular, Node.js, Kubernetes, AWS",4,1,3,2,AI Engineer,Microsoft,8,73,81
STU0021,Student 21,5.6,"HTML, Tableau, Docker",3,2,3,3,Cloud Engineer,Zomato,10,79,33
